Sentence,True Sentiment,Predicted Sentiment,Model Confidence
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .@neutral",,neutral sentiment,0.9997720122337341
UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .@neutral,,neutral sentiment,0.9995639324188232
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .@neutral",,neutral sentiment,0.9997158646583557
"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .@neutral",,neutral sentiment,0.9981961250305176
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .@neutral",,neutral sentiment,0.9997692704200745
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .@neutral,,neutral sentiment,0.9997328519821167
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .@positive",,positive sentiment,0.9998404383659363
"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .@neutral",,neutral sentiment,0.9997636675834656
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .@neutral,,negative sentiment,0.9992433786392212
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .@neutral,,neutral sentiment,0.9998155832290649
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .@neutral",,neutral sentiment,0.9997456669807434
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .@positive",,positive sentiment,0.9998414516448975
"The store is located in Poznan in a shopping center named Pestka , the company added .@neutral",,neutral sentiment,0.9997900724411011
The value of the order is USD 2.2 mn .@neutral,,neutral sentiment,0.9998030066490173
The company expects meat purchases to remain at about 8mn kilos in 2011 .@neutral,,neutral sentiment,0.9997023344039917
Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .@neutral,,neutral sentiment,0.9986954927444458
The deal was worth about EUR 1.2 mn .@neutral,,neutral sentiment,0.9997737407684326
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .@neutral,,neutral sentiment,0.9979597926139832
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .@neutral,,neutral sentiment,0.9973976016044617
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .@negative",,negative sentiment,0.9900961518287659
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .@negative",,negative sentiment,0.9998546242713928
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .@neutral,,neutral sentiment,0.9983718395233154
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .@positive,,positive sentiment,0.9998868703842163
"Its annual capacity is some 10,000 MW .@neutral",,neutral sentiment,0.9998363256454468
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .@neutral",,neutral sentiment,0.9997600317001343
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .@positive",,positive sentiment,0.9998290538787842
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .@neutral",,neutral sentiment,0.9994106888771057
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .@neutral",,neutral sentiment,0.9923603534698486
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .@neutral,,neutral sentiment,0.9997910261154175
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .@negative,,negative sentiment,0.9976657629013062
Rental of building equipment accounted for 88 percent of the operating income .@neutral,,neutral sentiment,0.9997899532318115
"After piloting , the instrument will be further developed according to the experiences gained .@neutral",,neutral sentiment,0.9997568130493164
The goal will be achieved via organic growth possibly supplemented by acquisitions .@neutral,,neutral sentiment,0.9995163679122925
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .@negative,,negative sentiment,0.9998341798782349
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .@neutral",,neutral sentiment,0.9998030066490173
"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .@positive",,positive sentiment,0.9998122453689575
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .@negative,,negative sentiment,0.9998252391815186
Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .@neutral,,neutral sentiment,0.9995179176330566
